score,title,word,sentence
7,Rumplestiltskin,whir,The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ Then he put another one on  and whir  whir  whir  three times pulled  and the second one was full as well  ~newline~ The little man took the ring  and began once again to whir with the spinning wheel 
7,Rumplestiltskin,girl,When the girl was brought to him he led her into a room that was entirely filled with straw  ~newline~  Oh   answered the girl   I am supposed to spin straw into gold  and I do not know how to do it   ~newline~  My necklace   said the girl  ~newline~ The girl did not know what to do  and she cried  ~newline~  The ring from my finger   answered the girl  ~newline~ When the girl was alone the little man returned for a third time  ~newline~  I have nothing more that I could give you   answered the girl 
6,Rumplestiltskin,one,Then he himself locked the room  and she was there all alone  ~newline~ Then he put another one on  and whir  whir  whir  three times pulled  and the second one was full as well  ~newline~ It was even larger  and he ordered her to spin it in one night  if she valued her life  ~newline~ When the girl was alone the little man returned for a third time  ~newline~ After each one the little man said   That is not my name   ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
6,Rumplestiltskin,give,The little man said   What will you give me if I spin it for you   ~newline~ He said   What will you give me if I spin the straw into gold for you   ~newline~ He said   What will you give me if I spin the straw this time   ~newline~  I have nothing more that I could give you   answered the girl  ~newline~ She thought no more about the little man  but suddenly he appeared in her room and said   Now give me that which you promised   ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time 
5,Rumplestiltskin,names,The queen spent the entire night thinking of all the names she had ever heard  ~newline~ Then she sent a messenger into the country to inquire far and wide what other names there were  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ The second day she sent inquiries into the neighborhood as to what names people had  ~newline~ She recited the most unusual and most curious names to the little man   Is your name perhaps Beastrib 
5,Rumplestiltskin,child, Then promise me  after you are queen  your first child   ~newline~ A year later she brought a beautiful child to the world  ~newline~ The queen took fright and offered the little man all the wealth of the kingdom if he would let her keep the child  but the little man said   No  ~newline~ If by then you know my name  then you shall keep your child   ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
5,Rumplestiltskin,took,The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ The little man took the ring  and began once again to whir with the spinning wheel  ~newline~ The queen took fright and offered the little man all the wealth of the kingdom if he would let her keep the child  but the little man said   No  ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time  ~newline~ Then with both hands he took hold of his left foot and ripped himself up the middle in two 
5,Rumplestiltskin,room,When the girl was brought to him he led her into a room that was entirely filled with straw  ~newline~ Then he himself locked the room  and she was there all alone  ~newline~ He had the miller s daughter taken to another room filled with straw  ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too  ~newline~ She thought no more about the little man  but suddenly he appeared in her room and said   Now give me that which you promised  
5,Rumplestiltskin,king,Now it happened that he got into a conversation with the king  and to make an impression on him he said   I have a daughter who can spin straw into gold   ~newline~ The king said to the miller   That is an art that I really like  ~newline~ At sunrise the king came  and when he saw the gold he was surprised and happy  but his heart became even more greedy for gold  ~newline~ The king was happy beyond measure when he saw it  but he still did not have his fill of gold  ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen  ~newline~ The queen took fright and offered the little man all the wealth of the kingdom if he would let her keep the child  but the little man said   No  ~newline~ The queen spent the entire night thinking of all the names she had ever heard 
4,Rumplestiltskin,answered, Oh   answered the girl   I am supposed to spin straw into gold  and I do not know how to do it   ~newline~  The ring from my finger   answered the girl  ~newline~  I have nothing more that I could give you   answered the girl  ~newline~ But he always answered   That is not my name  
4,Rumplestiltskin,began,She became more and more afraid  and finally began to cry  ~newline~ The little man took the ring  and began once again to whir with the spinning wheel  ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew 
4,Rumplestiltskin,know,The poor miller s daughter sat there  and for her life she did not know what to do  ~newline~  Oh   answered the girl   I am supposed to spin straw into gold  and I do not know how to do it   ~newline~ The girl did not know what to do  and she cried  ~newline~  Who knows what will happen   thought the miller s daughter  and not knowing what else to do  she promised the little man what he demanded  ~newline~ If by then you know my name  then you shall keep your child   ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
4,Rumplestiltskin,spun,Spin all night  and if by morning you have not spun this straw into gold  then you will have to die   ~newline~ So it went until morning  and then all the straw was spun  and all the spools were filled with gold  ~newline~ By morning he had spun all the straw into glistening gold  ~newline~ In return the little man once again spun the straw into gold 
4,Rumplestiltskin,morning,Spin all night  and if by morning you have not spun this straw into gold  then you will have to die   ~newline~ So it went until morning  and then all the straw was spun  and all the spools were filled with gold  ~newline~ By morning he had spun all the straw into glistening gold  ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen 
4,Rumplestiltskin,night,Spin all night  and if by morning you have not spun this straw into gold  then you will have to die   ~newline~ It was even larger  and he ordered her to spin it in one night  if she valued her life  ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too  ~newline~ The queen spent the entire night thinking of all the names she had ever heard  ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house 
4,Rumplestiltskin,filled,When the girl was brought to him he led her into a room that was entirely filled with straw  ~newline~ So it went until morning  and then all the straw was spun  and all the spools were filled with gold  ~newline~ He had the miller s daughter taken to another room filled with straw  ~newline~ He had the miller s daughter taken to a still larger room filled with straw  and said   Tonight you must spin this too 
4,Rumplestiltskin,time,  rumpelstiltskin Jacob and Wilhelm grimm Once upon a time there was a miller who was poor  but who had a beautiful daughter  ~newline~ The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ Then he put another one on  and whir  whir  whir  three times pulled  and the second one was full as well  ~newline~ When the girl was alone the little man returned for a third time  ~newline~ He said   What will you give me if I spin the straw this time   ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time 
3,Rumplestiltskin,day,Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ The second day she sent inquiries into the neighborhood as to what names people had  ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
3,Rumplestiltskin,returned,When the girl was alone the little man returned for a third time  ~newline~ When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house 
3,Rumplestiltskin,world,He thought   Even if she is only a miller s daughter  I will not find a richer wife in all the world   ~newline~ A year later she brought a beautiful child to the world  ~newline~ Something living is dearer to me than all the treasures of the world  
3,Rumplestiltskin,thought,He thought   Even if she is only a miller s daughter  I will not find a richer wife in all the world   ~newline~  Who knows what will happen   thought the miller s daughter  and not knowing what else to do  she promised the little man what he demanded  ~newline~ She thought no more about the little man  but suddenly he appeared in her room and said   Now give me that which you promised  
3,Rumplestiltskin,even,A little man stepped inside and said   Good evening  Mistress Miller  why are you crying so   ~newline~ At sunrise the king came  and when he saw the gold he was surprised and happy  but his heart became even more greedy for gold  ~newline~ It was even larger  and he ordered her to spin it in one night  if she valued her life 
3,Rumplestiltskin,happy,At sunrise the king came  and when he saw the gold he was surprised and happy  but his heart became even more greedy for gold  ~newline~ The king was happy beyond measure when he saw it  but he still did not have his fill of gold  ~newline~ You can imagine how happy the queen was when she heard that name 
3,Rumplestiltskin,saw,At sunrise the king came  and when he saw the gold he was surprised and happy  but his heart became even more greedy for gold  ~newline~ The king was happy beyond measure when he saw it  but he still did not have his fill of gold  ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house 
3,Rumplestiltskin,came,She became more and more afraid  and finally began to cry  ~newline~ At sunrise the king came  and when he saw the gold he was surprised and happy  but his heart became even more greedy for gold  ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen  ~newline~ Soon afterward the little man came in and asked   Now  Madame Queen  what is my name  
3,Rumplestiltskin,three,The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ Then he put another one on  and whir  whir  whir  three times pulled  and the second one was full as well  ~newline~ Then the queen began lamenting and crying so much that the little man took pity on her and said   I will give you three days  time 
3,Rumplestiltskin,good,On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
3,Rumplestiltskin,became,She became more and more afraid  and finally began to cry  ~newline~ At sunrise the king came  and when he saw the gold he was surprised and happy  but his heart became even more greedy for gold  ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen 
3,Rumplestiltskin,wheel,Giving her a spinning wheel and a reel  he said   Get to work now  ~newline~ The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ The little man took the ring  and began once again to whir with the spinning wheel 
3,Rumplestiltskin,spinning,Giving her a spinning wheel and a reel  he said   Get to work now  ~newline~ The little man took the necklace  sat down before the spinning wheel  and whir  whir  whir  three times pulled  and the spool was full  ~newline~ The little man took the ring  and began once again to whir with the spinning wheel 
3,Rumplestiltskin,beautiful,  rumpelstiltskin Jacob and Wilhelm grimm Once upon a time there was a miller who was poor  but who had a beautiful daughter  ~newline~ When in the morning the king came and found everything just as he desired  he married her  and the beautiful miller s daughter became queen  ~newline~ A year later she brought a beautiful child to the world 
3,Rumplestiltskin,rumpelstiltskin,  rumpelstiltskin Jacob and Wilhelm grimm Once upon a time there was a miller who was poor  but who had a beautiful daughter 
2,Rumplestiltskin,foot,shouted the little man  and with anger he stomped his right foot so hard into the ground that he fell in up to his waist  ~newline~ Then with both hands he took hold of his left foot and ripped himself up the middle in two 
2,Rumplestiltskin,told, The devil told you that  ~newline~ The devil told you that  
2,Rumplestiltskin,devil, The devil told you that  ~newline~ The devil told you that  
2,Rumplestiltskin,asked,Soon afterward the little man came in and asked   Now  Madame Queen  what is my name   ~newline~ She first asked   Is your name Kunz  
2,Rumplestiltskin,fire,A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
2,Rumplestiltskin,house,On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
2,Rumplestiltskin,new,When the little man returned the next day she began with Kaspar  Melchior  Balzer  and said in order all the names she knew  ~newline~ On the third day the messenger returned and said   I have not been able to find a single new name  but when I was approaching a high mountain in the corner of the woods  there where the fox and the hare say good night  I saw a little house  ~newline~ A fire was burning in front of the house  and an altogether comical little man was jumping around the fire  hopping on one leg and calling out  Today I ll bake  tomorrow I ll brew  Then I ll fetch the queen s new child  It is good that no one knows  Rumpelstiltskin is my name 
2,Rumplestiltskin,perhaps,She recited the most unusual and most curious names to the little man   Is your name perhaps Beastrib  ~newline~  Is your name perhaps Rumpelstiltskin  
